time_ISO8601,d18O,d18O_sd,d2H,d2H_sd,dexc,dexc_sd,H2O,H2O_sd
2016-11-20T02:00:00+00:00,-16.4575692403,0.288241802644,-117.211369426,2.12322668957,14.4491844957,2.3175355307,7148.90842072,192.658267315
2016-11-20T03:00:00+00:00,-15.8492669308,0.28561094785,-112.114739537,2.11039268879,14.6793959087,2.37602113757,7480.69709454,173.114652419
2016-11-20T04:00:00+00:00,-15.5449480544,0.223073002467,-109.817305145,1.53162899513,14.5422792902,2.31325870539,7563.11349243,160.158938277
2016-11-20T05:00:00+00:00,-15.3230836005,0.231147476053,-108.198476259,1.5571651683,14.3861925448,2.34772124107,7697.92676092,168.599560955
2016-11-20T06:00:00+00:00,-15.0720348255,0.212518595291,-106.227393205,1.49788548292,14.3488853989,2.32435782754,7908.56711007,158.838294166
2016-11-20T07:00:00+00:00,-15.0843084796,0.2083340516,-106.214792247,1.45945386437,14.4596755897,2.33045939026,7850.688883,155.35198232
2016-11-20T08:00:00+00:00,-15.7673928573,1.01638888555,-110.761684939,7.64366469792,15.3774579198,2.38598928037,8020.72019039,223.818336025
2016-11-20T09:00:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016-11-20T10:00:00+00:00,-16.971464912,0.505954767156,-120.388830989,3.97179629922,15.3828883065,2.39477384151,8557.46439661,275.113598576
2016-11-20T11:00:00+00:00,-15.7113254581,0.387986858113,-112.278056036,3.10452774989,13.4125476286,2.56490419976,9452.22626468,305.650866759
2016-11-20T12:00:00+00:00,-16.5038915282,0.406024347178,-120.751252462,2.8684598312,11.2798797633,2.36980221177,10302.9427656,203.095304819
2016-11-20T13:00:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016-11-20T14:00:00+00:00,-16.6512382105,0.489449640819,-124.040831023,3.24883888665,9.16907466077,2.37772697501,11251.5894575,247.384358846
2016-11-20T15:00:00+00:00,-15.407001152,0.415053553,-115.594287736,3.06210691131,7.66172147929,2.39513793184,11247.4938036,268.510927543
2016-11-20T16:00:00+00:00,-15.902523992,0.518359104197,-116.913529007,3.57748644152,10.3066629284,2.35139481162,9909.04397649,439.161507719
2016-11-20T17:00:00+00:00,-17.2172632467,0.720913778825,-127.156296842,5.27301622621,10.5818091311,2.3706237078,8861.98946281,502.055067303
2016-11-20T18:00:00+00:00,-18.2256226114,0.473107488224,-135.140664064,3.56830496981,10.6643168271,2.31061656003,8908.24290592,293.484063709
2016-11-20T19:00:00+00:00,-18.412658442,0.329828483587,-135.285948353,2.38102723379,12.0153191827,2.34162144216,8882.62800856,188.005714746
2016-11-20T20:00:00+00:00,-19.0632659123,0.485239523367,-139.619493945,3.45878586933,12.8866333537,2.34453475599,8577.56523926,250.437864182
2016-11-20T21:00:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016-11-20T22:00:00+00:00,-20.3430249856,0.313324450191,-149.835276718,2.2751087372,12.9089231671,2.38348849488,7932.20273465,129.326051806
2016-11-20T23:00:00+00:00,-19.0206510781,0.652125224222,-138.904057626,5.29216793571,13.2611509987,2.2958396419,8673.02113923,318.809723545
2016-11-21T00:00:00+00:00,-17.2326698241,0.783684696313,-126.00844302,5.5308415233,11.8529155728,2.6575767119,10089.3362384,671.654968512
2016-11-21T01:00:00+00:00,-17.5883858379,0.422952691361,-131.682977529,2.99926080051,9.024109174,2.43955495974,11198.2774136,215.751259874
2016-11-21T02:00:00+00:00,-16.1581553869,0.632182022102,-121.631160533,5.08766803126,7.63408256228,2.26467646757,12042.9197194,146.980787116
2016-11-21T03:00:00+00:00,-15.3211621963,0.30109293767,-115.321739055,2.25532160015,7.24755851558,2.27470834187,12509.28421,157.20040868
2016-11-21T04:00:00+00:00,-15.1468192904,0.432039339542,-115.269101783,2.85430742998,5.90545254065,2.39210164042,12943.3245204,117.773898251
2016-11-21T05:00:00+00:00,-14.9926205308,0.260954769511,-114.149902999,1.95141255736,5.79106124757,2.26106563581,12864.6740065,92.885658176
2016-11-21T06:00:00+00:00,-14.9659108923,0.324926152859,-113.675490964,2.28346725844,6.05179617481,2.20286675426,12702.6396206,127.110927355
2016-11-21T07:00:00+00:00,-15.6480311546,0.303360557325,-118.657675492,2.16348487285,6.52657374438,2.27810322926,12500.5538046,111.560086563
2016-11-21T08:00:00+00:00,-15.8812345973,0.37671613175,-120.811374931,2.83282084681,6.23850184672,2.29001604204,12839.3227587,148.160713695
2016-11-21T09:00:00+00:00,-16.0492672095,0.392904270985,-122.639729646,2.81732722224,5.75440802998,2.2578654082,13091.3584385,138.974096871
2016-11-21T10:00:00+00:00,-15.8910678987,0.327797534938,-121.416635933,2.4489652814,5.71190725678,2.27007572901,13278.8260418,96.8218210143
2016-11-21T11:00:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016-11-21T12:00:00+00:00,-15.0385037314,0.402772681983,-117.828533455,3.17172356158,2.47949639632,3.2580088765,13401.3750159,101.85215645
2016-11-21T13:00:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016-11-21T14:00:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016-11-21T15:00:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016-11-21T16:00:00+00:00,-18.2970754991,0.254407184707,-135.577290869,2.04338045341,10.7993131242,2.49194148632,10547.2920096,121.101482111
2016-11-21T17:00:00+00:00,-18.6282381756,0.295628771851,-135.594063431,1.90206340815,13.4318419739,2.36807713454,10660.2155762,253.365802175
